[2025-12-25 12:19:57,478][__main__][INFO] - === EMPAS: Sensitivity Profiling ===
[2025-12-25 12:20:08,695][src.models.sensitivity][INFO] - Computing baseline FP16 loss...
[2025-12-25 12:20:09,339][src.models.sensitivity][INFO] - Baseline Loss: 3.3008
[2025-12-25 12:20:09,340][src.models.sensitivity][INFO] - Profiling Layer 0/21...
[2025-12-25 12:20:09,780][src.models.sensitivity][INFO] - Profiling Layer 1/21...
[2025-12-25 12:20:10,167][src.models.sensitivity][INFO] - Profiling Layer 2/21...
[2025-12-25 12:20:10,553][src.models.sensitivity][INFO] - Profiling Layer 3/21...
[2025-12-25 12:20:10,953][src.models.sensitivity][INFO] - Profiling Layer 4/21...
[2025-12-25 12:20:11,366][src.models.sensitivity][INFO] - Profiling Layer 5/21...
[2025-12-25 12:20:11,740][src.models.sensitivity][INFO] - Profiling Layer 6/21...
[2025-12-25 12:20:12,125][src.models.sensitivity][INFO] - Profiling Layer 7/21...
[2025-12-25 12:20:12,509][src.models.sensitivity][INFO] - Profiling Layer 8/21...
[2025-12-25 12:20:12,907][src.models.sensitivity][INFO] - Profiling Layer 9/21...
[2025-12-25 12:20:13,283][src.models.sensitivity][INFO] - Profiling Layer 10/21...
[2025-12-25 12:20:13,661][src.models.sensitivity][INFO] - Profiling Layer 11/21...
[2025-12-25 12:20:14,033][src.models.sensitivity][INFO] - Profiling Layer 12/21...
[2025-12-25 12:20:14,420][src.models.sensitivity][INFO] - Profiling Layer 13/21...
[2025-12-25 12:20:14,812][src.models.sensitivity][INFO] - Profiling Layer 14/21...
[2025-12-25 12:20:15,196][src.models.sensitivity][INFO] - Profiling Layer 15/21...
[2025-12-25 12:20:15,588][src.models.sensitivity][INFO] - Profiling Layer 16/21...
[2025-12-25 12:20:15,973][src.models.sensitivity][INFO] - Profiling Layer 17/21...
[2025-12-25 12:20:16,351][src.models.sensitivity][INFO] - Profiling Layer 18/21...
[2025-12-25 12:20:16,742][src.models.sensitivity][INFO] - Profiling Layer 19/21...
[2025-12-25 12:20:17,120][src.models.sensitivity][INFO] - Profiling Layer 20/21...
[2025-12-25 12:20:17,491][src.models.sensitivity][INFO] - Profiling Layer 21/21...
[2025-12-25 12:20:17,877][__main__][INFO] - Profile saved to ./data/profiles/tinyllama_sensitivity.json
[2025-12-25 12:20:17,878][__main__][INFO] - 
--- Sanity Check: Layer 0 ---
[2025-12-25 12:20:17,878][__main__][INFO] - SUCCESS: 2-bit degrades model more than 8-bit, as expected
