[2025-12-25 12:32:06,671][__main__][INFO] - === EMPAS: Sensitivity Profiling (Enriched) ===
[2025-12-25 12:32:14,451][src.models.sensitivity][INFO] - Computing baseline FP16 loss...
[2025-12-25 12:32:14,830][src.models.sensitivity][INFO] - Baseline Loss: 3.3008
[2025-12-25 12:32:14,830][src.models.sensitivity][INFO] - Profiling Layer 0/21...
[2025-12-25 12:32:15,262][src.models.sensitivity][INFO] - Profiling Layer 1/21...
[2025-12-25 12:32:15,645][src.models.sensitivity][INFO] - Profiling Layer 2/21...
[2025-12-25 12:32:16,017][src.models.sensitivity][INFO] - Profiling Layer 3/21...
[2025-12-25 12:32:16,407][src.models.sensitivity][INFO] - Profiling Layer 4/21...
[2025-12-25 12:32:16,774][src.models.sensitivity][INFO] - Profiling Layer 5/21...
[2025-12-25 12:32:17,159][src.models.sensitivity][INFO] - Profiling Layer 6/21...
[2025-12-25 12:32:17,528][src.models.sensitivity][INFO] - Profiling Layer 7/21...
[2025-12-25 12:32:17,908][src.models.sensitivity][INFO] - Profiling Layer 8/21...
[2025-12-25 12:32:18,280][src.models.sensitivity][INFO] - Profiling Layer 9/21...
[2025-12-25 12:32:18,652][src.models.sensitivity][INFO] - Profiling Layer 10/21...
[2025-12-25 12:32:19,021][src.models.sensitivity][INFO] - Profiling Layer 11/21...
[2025-12-25 12:32:19,384][src.models.sensitivity][INFO] - Profiling Layer 12/21...
[2025-12-25 12:32:19,751][src.models.sensitivity][INFO] - Profiling Layer 13/21...
[2025-12-25 12:32:20,115][src.models.sensitivity][INFO] - Profiling Layer 14/21...
[2025-12-25 12:32:20,496][src.models.sensitivity][INFO] - Profiling Layer 15/21...
[2025-12-25 12:32:20,888][src.models.sensitivity][INFO] - Profiling Layer 16/21...
[2025-12-25 12:32:21,258][src.models.sensitivity][INFO] - Profiling Layer 17/21...
[2025-12-25 12:32:21,621][src.models.sensitivity][INFO] - Profiling Layer 18/21...
[2025-12-25 12:32:21,990][src.models.sensitivity][INFO] - Profiling Layer 19/21...
[2025-12-25 12:32:22,381][src.models.sensitivity][INFO] - Profiling Layer 20/21...
[2025-12-25 12:32:22,779][src.models.sensitivity][INFO] - Profiling Layer 21/21...
[2025-12-25 12:32:23,160][__main__][INFO] - Enriched profile saved to ./data/profiles/tinyllama_sensitivity.json
[2025-12-25 12:32:23,161][__main__][INFO] - Layer 0 Parameters: 44,040,192
[2025-12-25 12:32:23,161][__main__][INFO] - SUCCESS: Parameter counts captured.
